experiment,basis,distance,rounds,center_row,center_col,shots,actual_flip_rate,pymatching_error_rate,correlated_matching_error_rate,belief_matching_error_rate,tensor_network_error_rate
surface_code_bZ_d3_r17_center_5_3,Z,3,17,5,3,50000,0.46234,0.37056,0.34508,0.32986,0.3193
surface_code_bZ_d3_r17_center_5_7,Z,3,17,5,7,50000,0.4921,0.3915,0.36358,0.34144,0.33346
surface_code_bZ_d3_r17_center_7_5,Z,3,17,7,5,50000,0.48528,0.35802,0.3301,0.31426,0.30656
surface_code_bZ_d3_r19_center_3_5,Z,3,19,3,5,50000,0.47904,0.39144,0.37124,0.3535,0.35438
surface_code_bZ_d3_r19_center_5_3,Z,3,19,5,3,50000,0.47336,0.38562,0.35904,0.34558,0.33346
surface_code_bZ_d3_r19_center_5_7,Z,3,19,5,7,50000,0.48832,0.38992,0.3591,0.33716,0.3304
surface_code_bZ_d3_r19_center_7_5,Z,3,19,7,5,50000,0.494,0.39242,0.36736,0.35228,0.34452
surface_code_bZ_d3_r21_center_3_5,Z,3,21,3,5,50000,0.48424,0.41634,0.3935,0.3783,0.37804
surface_code_bZ_d3_r21_center_5_3,Z,3,21,5,3,50000,0.47856,0.40822,0.38408,0.3748,0.36416
surface_code_bZ_d3_r21_center_5_7,Z,3,21,5,7,50000,0.49536,0.41866,0.39146,0.37306,0.36868
surface_code_bZ_d3_r21_center_7_5,Z,3,21,7,5,50000,0.49536,0.40832,0.38506,0.36578,0.3616
surface_code_bZ_d3_r23_center_3_5,Z,3,23,3,5,50000,0.4939,0.42164,0.40272,0.38438,0.38894
surface_code_bZ_d3_r23_center_5_3,Z,3,23,5,3,50000,0.48822,0.42282,0.39952,0.3803,0.3675
surface_code_bZ_d3_r23_center_5_7,Z,3,23,5,7,50000,0.49728,0.4185,0.39022,0.3681,0.36128
surface_code_bZ_d3_r23_center_7_5,Z,3,23,7,5,50000,0.4965,0.41606,0.3911,0.37606,0.37232
surface_code_bZ_d3_r25_center_3_5,Z,3,25,3,5,50000,0.49434,0.43278,0.42138,0.40374,0.40844
surface_code_bZ_d3_r25_center_5_3,Z,3,25,5,3,50000,0.48892,0.43442,0.4088,0.39464,0.38874
surface_code_bZ_d3_r25_center_5_7,Z,3,25,5,7,50000,0.49578,0.43016,0.4022,0.38054,0.37466
surface_code_bZ_d3_r25_center_7_5,Z,3,25,7,5,50000,0.49666,0.42726,0.40422,0.3878,0.38006
surface_code_bZ_d5_r01_center_5_5,Z,5,1,5,5,50000,0.13848,0.00816,0.00816,0.00798,0.0077
surface_code_bZ_d5_r03_center_5_5,Z,5,3,5,5,50000,0.29164,0.07288,0.06518,0.0556,0.05278
surface_code_bZ_d5_r05_center_5_5,Z,5,5,5,5,50000,0.3799,0.14376,0.12516,0.10724,0.10216
surface_code_bZ_d5_r07_center_5_5,Z,5,7,5,5,50000,0.44278,0.19914,0.17424,0.15384,0.1438
surface_code_bZ_d5_r09_center_5_5,Z,5,9,5,5,50000,0.45994,0.24432,0.21268,0.18472,0.17838
surface_code_bZ_d5_r11_center_5_5,Z,5,11,5,5,50000,0.48004,0.2883,0.2526,0.22436,0.21728
surface_code_bZ_d5_r13_center_5_5,Z,5,13,5,5,50000,0.48442,0.32666,0.28862,0.25806,0.24716
surface_code_bZ_d5_r15_center_5_5,Z,5,15,5,5,50000,0.48906,0.35622,0.31806,0.28468,0.27424
surface_code_bZ_d5_r17_center_5_5,Z,5,17,5,5,50000,0.49478,0.379,0.34758,0.31204,0.30028
surface_code_bZ_d5_r19_center_5_5,Z,5,19,5,5,50000,0.49758,0.3972,0.36336,0.33472,0.32572
surface_code_bZ_d5_r21_center_5_5,Z,5,21,5,5,50000,0.50062,0.41534,0.38286,0.35324,0.34646
surface_code_bZ_d5_r23_center_5_5,Z,5,23,5,5,50000,0.49928,0.42984,0.39814,0.36814,0.36098
surface_code_bZ_d5_r25_center_5_5,Z,5,25,5,5,50000,0.50216,0.43858,0.41024,0.3845,0.37694
